STATE,CONFIRMED,RECOVERED,DEATHS
MAHARASHTRA,62228,26997,2098
TAMIL NADU,20246,11313,154
NCT OF DELHI,17386,7846,398
GUJRAT,15934,8611,980
RAJASTHAN,8365,5244,184
MADHYA PRADESH,7645,4269,334
UTTAR PRADESH,7284,4244,198
WEST BENGAL,4813,1775,302
ANDRA PRADESH,3436,2226,60
BIHAR,3376,1211,15
KARNATAKA,2781,894,48
TELANGANA,2425,1381,71
PUNJAB,2197,1949,42
JAMMU KASHMIR,2164,875,28
ODISHA,1723,887,7
HARAYANA,1721,940,19
KERALA,1150,565,8
ASSAM,1024,125,4
UTTARAKHAND,716,102,5
JHARKAND,511,216,5
CHATTISGARH,415,100,1
HIMACHAL PRADESH,295,87,5
CHANDIGARH,289,189,4
TRIPURA,251,171,0
LADAKH,74,43,0
GOA,69,41,0
MANIPUR,59,8,0
PUDUCHERRY,51,14,0
ANDAMAN NICOBAR,33,33,0
MEGHALAYA,27,12,1
NAGALAND,25,0,0
ARUNACHAL PRADESH,3,1,0
DADRA AND NAGAR HAVELI,2,0,0
SIKKIM,1,0,0
MIZORAM,1,1,0
DAMAN AND DIU,0,0,0
LAKSHADWEEP,0,0,0
